discipline,athlete,country,record,date,event,sex,wikipedia,profile,video_name,video_link
VWT,Nitsch Herbert,AT,142,12/6/2009,"WR Attempt - NITSCH Herbert(CWT, FIM, VWT, CNF)",Men,https://en.wikipedia.org/wiki/Herbert_Nitsch,https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-000000000006,Freediver Herbert Nitsch - WR#27 2009 VWT 466 ft (142 m),https://www.youtube.com/watch?v=8vcyWm5AqUs
VWT,Coste Carlos,VE,140,5/9/2006,WR Attempt - COSTE Carlos(VWT – FIM),Men,https://en.wikipedia.org/wiki/Carlos_Coste,https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-000000000070,record variable 140m,https://www.youtube.com/watch?v=EpJyde_jnBI
VWT,Stepanek Martin,CZ,136,4/8/2005,"WR Attempt - STEPANEK Martin (CWT, CNF, FIM)",Men,https://en.wikipedia.org/wiki/Martin_%C5%A0t%C4%9Bp%C3%A1nek_(free-diver),https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-000000000092,not_found,not_found
VWT,Coste Carlos,VE,135,10/25/2004,WR Attempt - Carlos Coste and Stig Severinsen,Men,https://en.wikipedia.org/wiki/Carlos_Coste,https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-000000000070,"Carlos Coste´s Freediving World Record VWT 135m. Venezuela, 2004.",https://www.youtube.com/watch?v=-XioVUAgAAc
VWT,Musimu Patrik,BE,120,11/10/2001,WR Attempt - MUSIMU Patrick (VWT),Men,https://en.wikipedia.org/wiki/Patrick_Musimu,https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-00000000006e,not_found,not_found
VWT,Franz Benjamin,DE,117,9/1/2001,WR Attempt - FRANZ Benjamin (VWT),Men,https://de.wikipedia.org/wiki/Benjamin_Franz,https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-000000000028,117m Weltrekord Variabel 2001 Rotes Meer,https://www.youtube.com/watch?v=luKDrdJ2aI4
VWT,Pelizzari Umberto,IT,115,9/20/1997,WR Attempt - PELIZZARI Umberto (VWT),Men,https://en.wikipedia.org/wiki/Umberto_Pelizzari,https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-0000000000a2,not_found,not_found
VWT,Ravelo Alejandro,CU,111,9/9/1997,WR Attempt - RAVELO Alejandro (VWT),Men,None,https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-000000000e04,not_found,not_found
VWT,Pelizzari Umberto,IT,110,9/9/1996,WR Attempt - PELIZZARI Umberto (VWT),Men,https://en.wikipedia.org/wiki/Umberto_Pelizzari,https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-0000000000a2,not_found,not_found
VWT,Pelizzari Umberto,IT,105,7/22/1995,WR Attempt - PELIZZARI Umberto (VWT),Men,https://en.wikipedia.org/wiki/Umberto_Pelizzari,https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-0000000000a2,not_found,not_found
VWT,Pelizzari Umberto,IT,101,7/24/1994,WR Attempt - PELIZZARI Umberto (VWT),Men,https://en.wikipedia.org/wiki/Umberto_Pelizzari,https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-0000000000a2,not_found,not_found
CWT,Molchanov Alexey,RU,130,7/18/2018,Vertical Blue,Men,https://en.wikipedia.org/wiki/Alexey_Molchanov,https://athletes.aidainternational.org/Profile-2e49e1ad-580c-4b06-a13e-0e36682f2a1f,#VB2018 Alexey Molchanov's World Record Dive to 130m,https://www.youtube.com/watch?v=eu2pBpQolKE
CWT,Molchanov Alexey,RU,129,5/2/2017,Vertical Blue 2017,Men,https://en.wikipedia.org/wiki/Alexey_Molchanov,https://athletes.aidainternational.org/Profile-2e49e1ad-580c-4b06-a13e-0e36682f2a1f,not_found,not_found
CWT,Molchanov Alexey,RU,129,10/28/2016,Big Blue World Cup,Men,https://en.wikipedia.org/wiki/Alexey_Molchanov,https://athletes.aidainternational.org/Profile-2e49e1ad-580c-4b06-a13e-0e36682f2a1f,Alexey Molchanov 129m (Constant Weight) Freediving World Recor,https://www.youtube.com/watch?v=wRsxzvLRwEY
CWT,Molchanov Alexey,RU,128,9/15/2013,AIDA INDIVIDUAL DEPHT WORLD CHAMPIONSHIP 2013,Men,https://en.wikipedia.org/wiki/Alexey_Molchanov,https://athletes.aidainternational.org/Profile-2e49e1ad-580c-4b06-a13e-0e36682f2a1f,not_found,not_found
CWT,Molchanov Alexey,RU,126,11/20/2012,Suunto Vertical Blue 2012,Men,https://en.wikipedia.org/wiki/Alexey_Molchanov,https://athletes.aidainternational.org/Profile-2e49e1ad-580c-4b06-a13e-0e36682f2a1f,Alexey Molchanov of Russia sets new World Record in Constant Weight 126m,https://www.youtube.com/watch?v=B8V8TRdA3e0
CWT,Nitsch Herbert,AT,124,4/27/2010,Vertical Blue 2010 - the Suunto Dive-Off,Men,https://en.wikipedia.org/wiki/Herbert_Nitsch,https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-000000000006,Freediver Herbert Nitsch - WR#31 2010 CWT 407 ft (124 m),https://www.youtube.com/watch?v=90KowxrMqJM
CWT,Nitsch Herbert,AT,123,12/6/2009,"WR Attempt - NITSCH Herbert(CWT, FIM, VWT, CNF)",Men,https://en.wikipedia.org/wiki/Herbert_Nitsch,https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-000000000006,Herbert Nitsch 123m Constant Weight World record,https://www.youtube.com/watch?v=6qjYm4XQxEE
CWT,Stepanek Martin,CZ,122,5/23/2009,"WR Attempt - STEPANEK Martin(CWT, FIM, CNF)",Men,https://en.wikipedia.org/wiki/Martin_%C5%A0t%C4%9Bp%C3%A1nek_(free-diver),https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-000000000092,New CWT freediving world record - 122m – 22.05.09,https://www.youtube.com/watch?v=S7iw1KmkloQ
CWT,Nitsch Herbert,AT,114,4/4/2009,Vertical Blue 2009,Men,https://en.wikipedia.org/wiki/Herbert_Nitsch,https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-000000000006,not_found,not_found
CWT,Nitsch Herbert,AT,120,4/3/2009,Vertical Blue 2009,Men,https://en.wikipedia.org/wiki/Herbert_Nitsch,https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-000000000006,Freediver Herbert Nitsch - WR#25 2009 CWT 394 ft (120 m),https://www.youtube.com/watch?v=KvI4CJns0MI
CWT,Néry Guillaume,FR,113,6/30/2008,WR Attempt - NÃ‰RY Guillaume(CWT),Men,https://en.wikipedia.org/wiki/Guillaume_N%C3%A9ry,https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-0000000001dd,not_found,not_found
CWT,Nitsch Herbert,AT,112,10/27/2007,4th AIDA Individual World Championship,Men,https://en.wikipedia.org/wiki/Herbert_Nitsch,https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-000000000006,CWT New world record -112m by Herbert Nitsch in EGYPT WC,https://www.youtube.com/watch?v=0EJEftVLmKI
CWT,Nitsch Herbert,AT,111,12/9/2006,5th AIDA Freediving Team World Championship,Men,https://en.wikipedia.org/wiki/Herbert_Nitsch,https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-000000000006,Herbert Nitsch -111m World Constant Weight Freediving record,https://www.youtube.com/watch?v=nKNtg006uPg
CWT,Néry Guillaume,FR,109,8/31/2006,WR Attempt – Néry Guillaume(CWT),Men,https://en.wikipedia.org/wiki/Guillaume_N%C3%A9ry,https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-0000000001dd,BALL Watch Co. Explorer Guillaume Néry 109M record FREEDIVE,https://www.youtube.com/watch?v=66h3p4xLEJ4
CWT,Stepanek Martin,CZ,108,4/1/2006,WR Attempt - STEPANEK Martin(CNF - CWT -FIM),Men,https://en.wikipedia.org/wiki/Martin_%C5%A0t%C4%9Bp%C3%A1nek_(free-diver),https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-000000000092,not_found,not_found
CWT,Coste Carlos,VE,105,9/1/2005,1st AIDA Individual Constant Weight World Freediving Championship,Men,https://en.wikipedia.org/wiki/Carlos_Coste,https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-000000000070,"Carlos Coste Freediving World Record CWT -105m, Niza 2005",https://www.youtube.com/watch?v=GfJu0JLYnCk
CWT,Stepanek Martin,CZ,103,9/10/2004,WR Attempt - STEPANEK Martin (CWT),Men,https://en.wikipedia.org/wiki/Martin_%C5%A0t%C4%9Bp%C3%A1nek_(free-diver),https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-000000000092,not_found,not_found
CWT,Coste Carlos,VE,102,6/14/2004,BIOS Freeology Open Classic 2004,Men,https://en.wikipedia.org/wiki/Carlos_Coste,https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-000000000070,Carlos Coste -102m world Freediving Record,https://www.youtube.com/watch?v=rihC6rlrDaY
CWT,Néry Guillaume,FR,96,6/9/2004,WR Attempt - NERY Guillaume (CWT),Men,https://en.wikipedia.org/wiki/Guillaume_N%C3%A9ry,https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-0000000001dd,not_found,not_found
CWT,Nitsch Herbert,AT,95,9/5/2003,"WR Attempt - NITSCH Herbert (CWT,CNF, FIM)",Men,https://en.wikipedia.org/wiki/Herbert_Nitsch,https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-000000000006,not_found,not_found
CWT,Stepanek Martin,CZ,93,5/29/2003,Sony Freediver Open Classic 2003,Men,https://en.wikipedia.org/wiki/Martin_%C5%A0t%C4%9Bp%C3%A1nek_(free-diver),https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-000000000092,not_found,not_found
CWT,Coste Carlos,NL,90,11/6/2002,Carlos Coste WRA CWT 2002,Men,https://en.wikipedia.org/wiki/Carlos_Coste,https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-000000000070,not_found,not_found
CWT,Néry Guillaume,FR,87,8/31/2002,WR Attempt - NERY Guillaume (CWT),Men,https://en.wikipedia.org/wiki/Guillaume_N%C3%A9ry,https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-0000000001dd,Guillaume Néry - Old clip from 2005,https://www.youtube.com/watch?v=wzr9kOrcHbo
CWT,Fattah Eric,CA,82,8/11/2001,WR Attempt - FATTAH Eric (CWT),Men,None,https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-00000000006c,Eric Fattah 82m/269ft World Freediving Record 2001,https://www.youtube.com/watch?v=4CtMmmR2zDg
CWT,Nitsch Herbert,AT,86,1/1/2001,Compiled rankings for year 2001,Men,https://en.wikipedia.org/wiki/Herbert_Nitsch,https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-000000000006,not_found,not_found
CWT,Le Master Brett,US,81,11/12/1999,WR Attempt - LEMASTER Brett (CWT),Men,None,https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-00000000003a,not_found,not_found
